                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.56818,                 0.4131,                0.95104,                0.94312,                0.91174,                0.95683,                0.86009,                0.47667,                0.29647,                0.83938,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     49,                0.59696,                0.40874,                0.93627,                0.94321,                0.91168,                0.96005,                0.86246,                0.47209,                 0.2935,                0.83769,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     50,                0.53886,                0.36821,                0.91425,                0.94446,                0.90634,                 0.9601,                0.86373,                0.46774,                0.28944,                0.83738,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     51,                0.52417,                 0.3722,                0.92893,                0.95042,                0.90202,                0.96012,                0.86718,                0.46518,                0.28836,                0.83692,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                0.51622,                0.38365,                0.93636,                0.95252,                 0.9014,                0.95965,                0.86646,                0.45996,                0.28605,                0.83517,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     53,                0.54585,                0.39963,                0.94427,                0.93218,                0.91183,                0.95967,                0.86794,                0.46051,                0.28283,                0.83449,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                0.54781,                0.40038,                0.94716,                0.92185,                0.93093,                0.96246,                0.86677,                0.45627,                0.28293,                 0.8325,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                0.54862,                0.38123,                0.94468,                0.93954,                0.92852,                0.96524,                0.87046,                 0.4507,                0.28147,                0.83053,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                0.55887,                  0.393,                0.94218,                0.94496,                0.92406,                0.96538,                0.87171,                0.44661,                 0.2802,                0.82889,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     57,                0.54934,                0.39528,                0.92865,                0.94064,                0.92619,                0.96695,                0.87073,                0.44417,                0.28084,                0.82808,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     58,                0.53916,                 0.3738,                 0.9148,                0.94301,                 0.9242,                0.96424,                0.87469,                0.44527,                0.27763,                0.82824,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     59,                0.58001,                0.39154,                0.92873,                0.93314,                0.93003,                 0.9643,                0.87327,                0.44374,                0.27662,                0.82827,              5.067e-05,              5.067e-05,              5.067e-05
                     60,                0.54487,                0.38402,                  0.938,                0.93495,                 0.9357,                0.96474,                0.87312,                0.43768,                0.27157,                0.82769,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     61,                0.51726,                0.37391,                 0.9111,                0.93449,                0.93113,                0.96377,                0.87373,                0.43409,                 0.2681,                0.82714,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     62,                0.52203,                0.36735,                0.92401,                 0.9344,                0.92878,                0.96447,                0.87366,                0.43554,                0.26673,                0.82683,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     63,                0.53115,                0.37708,                0.91307,                 0.9443,                0.92395,                0.96394,                0.87237,                0.43416,                0.26724,                0.82518,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     64,                0.52407,                0.36377,                0.91995,                0.94011,                0.92983,                0.96431,                0.87383,                0.42563,                0.26498,                 0.8221,              4.478e-05,              4.478e-05,              4.478e-05
                     65,                 0.4979,                0.36029,                0.90764,                0.95223,                  0.923,                0.96499,                0.87976,                0.41931,                 0.2614,                0.81971,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     66,                0.51074,                 0.3433,                0.92446,                0.94254,                0.93454,                0.96518,                0.88269,                0.41935,                0.25962,                 0.8189,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     67,                0.54841,                0.37981,                0.94166,                0.94695,                 0.9289,                0.96524,                0.88225,                0.41769,                0.25985,                0.81836,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     68,                 0.4996,                 0.3554,                0.90381,                0.94392,                0.93242,                0.96431,                0.88092,                0.41504,                0.25873,                0.81782,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                0.50859,                 0.3569,                0.92119,                0.94219,                  0.938,                0.96616,                0.87865,                0.41099,                 0.2571,                0.81714,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     70,                 0.4891,                 0.3312,                0.89829,                0.94126,                0.93783,                0.96633,                 0.8828,                0.40489,                0.25654,                0.81552,             3.7711e-05,             3.7711e-05,             3.7711e-05
